NpcType,DialogueIndex,LineIndex,Content
Frog,0,0,你终于来了，真高兴能见到你
Frog,0,1,不过你已经做好准备了吗？当你不再行走而只是爬行……
Frog,0,2,一切都会变得不一样。
Frog,0,3,好吧，你至少得先躲过前面那些蜘蛛才有可能获得你想要的东西。
Frog,1,0,又见面了。
Frog,1,1,很困难吗？那我给你一点提示好了。
Frog,1,2,蜘蛛是一种靠震动感知四周的生物，你不动就不会被它们发现。
Frog,1,3,以及按空格可以转向。
Frog,1,4,空格是什么？哦这句话不是对你说的。
Frog,1,5,总之祝你——你们好运。
Frog,2,0,唉，事情都是这样的。
Frog,2,1,当你知道的少的时候，你的选择就会少；当你知道的多了，你理解的东西就多了，你的选择也就多了。
Chameleon,0,0,我想沿着这些树爬上去，我已经在这里太久了……
Chameleon,0,1,但是我不能。我只是一只变色龙。
Chameleon,0,2,你看到那些树了吗？它们保护了我，但它们也困住了我。
Chameleon,0,3,这样吧，我教会你我的爬行方式，这样那些以视觉识别你的家伙们就不会��难你了。
Chameleon,0,4,而你呢，你替我上去看看，然后告诉我上面的世界是怎么样的。
Chameleon,1,0,又见面了！你去过上面了吗？
Chameleon,1,1,……
Chameleon,1,2,哦，原来上面的世界也不过如此。
Chameleon,1,3,好像没什么不同的。
Chameleon,1,4,我在这里也挺好的。
Chameleon,1,5,我在这里也挺好的。
Chameleon,1,6,我在这里也挺好的。
Chameleon,2,0,……
Chameleon,2,1,这里也我在挺好的。
Chameleon,2,2,我在挺这也里的好。
Cat,0,0,？
Cat,0,1,你是什么东西？
Cat,0,2,人类？会爬的人类？你认真的吗？
Cat,0,3,爬树啊，很简单的。把键盘竖着一分为二两边来回按就好了。
Cat,0,4,当然！你在问什么啊！可以爬树当然也可以在地面上爬啊，只是速度不一样而已。
Cat,0,5,……唉真不想教你，对我又没有什么好处。
Cat,0,6,快走吧，别打扰我睡觉了。
Cat,0,7,………………………………
Cat,0,8,……除非你特别想回来找我玩。
Cat,1,0,你真的回来了，而且一直在爬？
Cat,1,1,那你和其他人类还真的不太一样。
Cat,1,2,他们总是不屑于爬，不是吗？
Cat,1,3,高高在上地冷漠地使用两条腿挪动自己的身体，并称之为"行走"。
Cat,1,4,我没什么能给你的了，你不用回来找我了。
Cat,1,5,但是我希望你知道再次看到你我很高兴。
Cat,2,0,我的朋友，你是怎么行动的，这既决定了你的视角，又决定了其他人对待你的方式。
Cat,2,1,请记住这一点。
Turtle,0,0,呜呜呜呜
Turtle,0,1,呜呜呜呜呜呜呜
Turtle,0,2,我在地面上就是爬不快嘛！我想回到水里！
Turtle,0,3,但前面的那些獾，看到我就会把我抓住丢回来！
Turtle,0,4,呜呜呜——
Turtle,0,5,你说新的爬法？反正也不是你学。其实见到了我，你就自然会了。
Turtle,0,6,这是程序里写好的。
Turtle,0,7,呜呜呜——
Turtle,1,0,啊啊啊啊啊啊啊啊蛇啊！
Turtle,1,1,——开玩笑的我知道你是谁。
Turtle,1,2,说实话蛇行是一种很好的爬行方式，用它可以绕过很多动物，甚至还可以爬树和下水。
Turtle,1,3,但这样就对吗？
Turtle,1,4,因为我很怕蛇啊啊啊啊啊啊你快走吧！！！！！
Snake,0,0,嘶嘶——
Snake,0,1,嘶嘶嘶嘶嘶——
Snake,0,2,死死死死死—— 
